language,package,module,source,line,local_version,status,lock_status
R,dplyr,dplyr,plotting/historical/make_manuscript_figures.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,grDevices,grDevices,plotting/historical/make_manuscript_figures.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,data.table,data.table,config/recorded/project_config.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,msigdbr,msigdbr,analysis/programmes/run_celltype_pathway_enrichment.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,data.table,data.table,analysis/programmes/run_celltype_pathway_enrichment.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,fgsea,fgsea,analysis/programmes/run_celltype_pathway_enrichment.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,readxl,readxl,analysis/clinical/run_icb_efficacy_guardrail.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,data.table,data.table,analysis/clinical/run_icb_efficacy_guardrail.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,jsonlite,jsonlite,analysis/clinical/run_icb_efficacy_guardrail.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,Biobase,Biobase,analysis/clinical/run_icb_efficacy_guardrail.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,survival,survival,analysis/clinical/run_icb_efficacy_guardrail.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,org.Hs.eg.db,org.Hs.eg.db,analysis/clinical/run_icb_efficacy_guardrail.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,metafor,metafor,analysis/clinical/run_icb_efficacy_guardrail.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,edgeR,edgeR,analysis/clinical/run_icb_efficacy_guardrail.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,pROC,pROC,analysis/clinical/run_icb_efficacy_guardrail.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,AnnotationDbi,AnnotationDbi,analysis/clinical/run_icb_efficacy_guardrail.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,msigdbr,msigdbr,analysis/programmes/run_independent_colon_pathway_enrichment.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,data.table,data.table,analysis/programmes/run_independent_colon_pathway_enrichment.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,fgsea,fgsea,analysis/programmes/run_independent_colon_pathway_enrichment.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,Matrix,Matrix,analysis/patient_level/run_independent_colon_pseudobulk_de.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
